Country,Group,Prevalance..primary.,X95..CI.min,X95..CI.max,Prevalance..primary...secondary.,X95..CI.min.1,X95..CI.max.1,Country.Code,Indicator.Name,Indicator.Code,X1960,X1961,X1962,X1963,X1964,X1965,X1966,X1967,X1968,X1969,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,X2019,X2020,X2021,X2022,X2023
Afghanistan,Asia,0.82,0.79,0.86,0,0,0,AFG,"Population ages 15-64, total",SP.POP.1564.TO,4788899,4877387,4971702,5067343,5162530,5255725,5347305,5442953,5544011,5649463,5761195,5875339,5993595,6120994,6250852,6376579,6491903,6603844,6710175,6711038,6430939,5726741,5163712,5081674,5219865,5345522,5301692,5226926,5246397,5380687,5377229,5384510,6019621,6964546,7651708,8087000,8379675,8665271,8959026,9284531,9380032,9420854,10031307,10811839,11254197,11738147,12331417,12433299,12630067,13239481,13722048,14437898,15286716,16000570,16802817,17485014,18038552,18706224,19401609,20127704,20957369,21722439,22404909,23130436
Cambodia,Asia,0.68,0.66,0.71,0.42,0.35,0.49,KHM,"Population ages 15-64, total",SP.POP.1564.TO,2937791,2998566,3061746,3128856,3203108,3281937,3359325,3435948,3513369,3592694,3582079,3533249,3558601,3604115,3647255,3567110,3362802,3257365,3253038,3347187,3438845,3517282,3664795,3804601,3922408,4025935,4166423,4328938,4461057,4578922,4710866,4833727,5040679,5308856,5493539,5640129,5817240,6010002,6319971,6645856,6877901,7115410,7358391,7605028,7850711,8094493,8339771,8585443,8821310,9035347,9229566,9406090,9558034,9706910,9861420,10005482,10147460,10289375,10422129,10544941,10674662,10810814,10940260,11069280
China,Asia,0.85,0.83,0.86,0.85,0.83,0.86,CHN,"Population ages 15-64, total",SP.POP.1564.TO,371478204,370644985,373916622,379324943,384608183,392459201,403156857,415082625,427511788,439885220,453299770,466792477,480289919,493168871,502808705,510508030,517729429,528738723,547101259,566480467,583687542,600441839,616596105,634113758,652879800,671252711,689171232,705817809,721706724,735923185,747174586,757775607,768432990,778388491,789242633,800991787,813656261,827885092,841225988,853178019,865485981,878790092,893626206,908333176,922710365,937712257,949961080,958367798,965322958,970985809,975573269,979815828,983744113,986335930,987820941,988302343,988046970,986411437,983747117,981428759,978973451,977101360,974838887,972620248
India,Asia,0.61,0.58,0.64,0.57,0.53,0.6,IND,"Population ages 15-64, total",SP.POP.1564.TO,250572490,254983160,259461462,264033144,269239453,275095446,281128542,287440562,294131776,301154377,308479482,315989498,323685090,331640545,339752276,348039335,356475048,365254332,374467006,383945578,393699476,403630682,413737921,424166130,434850151,445720916,456823486,468194817,479936444,492063295,504451116,516954044,529565821,542339649,555426168,568890441,582689001,596800684,611160335,625784989,640617507,655697139,670914857,686160442,701561063,716911600,732180068,747505065,762763594,777995638,793438411,809037482,824603950,840060464,854999441,869459756,884115112,898694113,912553718,925771433,938586445,950245567,960804385,971860527
Iran,Asia,0.88,0.83,0.93,0.85,0.75,0.95,IRN,"Population ages 15-64, total",SP.POP.1564.TO,11268938,11491544,11747866,12036090,12390691,12803112,13218122,13625099,14032674,14457919,14914534,15392152,15894181,16433675,17003548,17593867,18157919,18719162,19313847,19928198,20572424,21759358,22952640,23643725,24377077,25132178,25899617,26672115,27435168,28230197,29647417,31186623,32116831,32332248,32628017,33642030,34804652,36186326,37769450,39430433,41162325,42941267,44272423,45550105,47203217,48811929,50340766,51724681,52921528,53938357,54810078,55456569,55967397,56499437,57117527,57861740,58488654,58960922,59397335,59806077,60142828,60503472,60933022,61361726
Japan,Asia,0.73,0.59,0.86,0.73,0.59,0.86,JPN,"Population ages 15-64, total",SP.POP.1564.TO,60316755,61146392,62378444,63991229,65603572,67000135,68120520,69145271,69992810,70842946,71627272,73097921,73854357,74546419,75214015,75887579,76477143,77044268,77639037,78271107,78966952,79508807,80106499,80959193,81775586,82563185,83314680,84089079,84841583,85559221,86096863,86536705,86848860,87064178,87157513,87135285,87013094,86812362,86622587,86357057,86028257,85671811,85301311,84990460,84562217,84011699,83351772,82682697,81996931,81355870,80939051,80425404,79572883,78399486,77229906,76282461,75621650,75084846,74638081,74267895,73864092,73446995,73138948,72796769
Malaysia,Asia,0.87,0.84,0.91,0.87,0.84,0.91,MYS,"Population ages 15-64, total",SP.POP.1564.TO,4039819,4137310,4245513,4364304,4491444,4632690,4785246,4941838,5103629,5269827,5442327,5618565,5799700,5990088,6189890,6401428,6623369,6860790,7110631,7359767,7607006,7848488,8082572,8319875,8570626,8843481,9140930,9460376,9799858,10148083,10496033,10839096,11181939,11532200,11894176,12266673,12649482,13050463,13466694,13892463,14310850,14728768,15167661,15628112,16112396,16617015,17137059,17669006,18208339,18750824,19258859,19723077,20170798,20603370,21021716,21421012,21808902,22181826,22521048,22837979,23144110,23430510,23697233,23945854
Mongolia,Asia,0.88,0.83,0.92,0.88,0.83,0.92,MNG,"Population ages 15-64, total",SP.POP.1564.TO,554389,561309,567967,573514,578105,583091,589025,596272,605329,617506,632457,648776,666702,686650,708729,733037,759340,787417,817153,846812,875618,904439,933576,963250,993466,1024206,1055512,1087689,1121183,1153716,1184605,1215622,1246876,1278433,1310051,1341254,1371752,1402039,1433440,1467138,1504193,1543652,1583655,1623833,1663302,1700690,1734802,1765058,1792060,1816723,1840483,1868159,1898699,1927681,1955829,1982659,2008098,2031574,2052768,2072919,2093145,2114128,2138395,2168290
Myanmar,Asia,0.92,0.84,1,0,0,0,MMR,"Population ages 15-64, total",SP.POP.1564.TO,12281732,12472068,12672279,12882781,13129484,13414934,13715011,14031009,14364925,14713590,15075636,15446262,15826224,16189635,16534340,16888635,17249857,17630053,18031982,18441972,18864683,19294405,19714107,20173799,20682374,21194878,21708493,22223054,22739987,23252553,23754636,24237697,24708473,25182749,25669278,26166010,26672111,27197044,27740055,28284743,28805546,29289698,29737436,30153526,30556908,30956336,31348422,31738144,32095629,32455115,32857563,33281507,33719396,34153923,34555887,34919862,35275074,35624052,35951009,36254935,36553345,36846283,37136469,37423530
Pakistan,Asia,0.58,0.56,0.61,0.65,0.61,0.68,PAK,"Population ages 15-64, total",SP.POP.1564.TO,25570261,26133187,26647273,27161552,27670855,28180458,28719980,29316689,29970029,30679820,31445393,32210002,33010766,33909280,34880089,35943866,37105910,38347308,39657595,41170488,43146027,45403275,47475600,49186474,50537029,52006725,53753217,55560118,57392380,59167337,60949508,62762404,64052618,65405796,67282401,69374710,71775455,74261716,76878682,79606748,82770846,86125833,88828749,91232910,93860799,96528411,99222675,102020263,104874732,107842466,110893362,113745731,116104655,118065872,119914538,121660966,123307884,125260953,127651888,130195040,133031513,136153500,139515778,143111062
South Korea,Asia,1,1,1,1,1,1,KOR,"Population ages 15-64, total",SP.POP.1564.TO,13703318,14021102,14326317,14629130,14935087,15257901,15603569,15993077,16441726,16923595,17467416,18002351,18523338,19080800,19689562,20345540,21030266,21715925,22388991,23030800,23649913,24251387,24835196,25444467,26069774,26678038,27306326,27931963,28533093,29111839,29656516,30153809,30632158,31082604,31537234,32033613,32522093,32965176,33290259,33552273,33787596,33985803,34143376,34297010,34429975,34536910,34777751,35027760,35397207,35685703,35953443,36354941,36677793,36917181,37173037,37379210,37525464,37533636,37547256,37519554,37324433,36992897,36655085,36398725
Sri Lanka,Asia,0.73,0.66,0.79,0.73,0.66,0.79,LKA,"Population ages 15-64, total",SP.POP.1564.TO,5286442,5428739,5581943,5741757,5899954,6059136,6225151,6396841,6572786,6751118,6932241,7115733,7301843,7493791,7690309,7886664,8079265,8267608,8454809,8640996,8821964,8996169,9168865,9341973,9515672,9695756,9884135,10080072,10279252,10469410,10655259,10844922,11035359,11232650,11437518,11636714,11824740,11995504,12143310,12279098,12404117,12548060,12713085,12868311,13015289,13155533,13299704,13442994,13577592,13700003,13814694,13932867,14009180,14039031,14063554,14087748,14117896,14148610,14234737,14307585,14381014,14540694,14560801,14471414
Taiwan,Asia,0.88,0.79,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand,Asia,0.84,0.79,0.9,0.38,0.23,0.54,THA,"Population ages 15-64, total",SP.POP.1564.TO,14080350,14419964,14781887,15161310,15571868,16024190,16504673,17009532,17543367,18108673,18714734,19354251,20027211,20740571,21481092,22242305,23017249,23830793,24690336,25572553,26487818,27426774,28382329,29369716,30376107,31385699,32388657,33384295,34373851,35327179,36308258,37266211,38154431,39014460,39820135,40570754,41287791,42010612,42715515,43388020,44047866,44691690,45296290,45852143,46349609,46804096,47265656,47745735,48211018,48646304,49062663,49465394,49823306,50092164,50262166,50354504,50413114,50431858,50371379,50247486,50092759,49897410,49663033,49411266
Vietnam,Asia,1,1,1,1,1,1,VNM,"Population ages 15-64, total",SP.POP.1564.TO,17731369,17966180,18218216,18493016,18862490,19312366,19724691,20166143,20642789,21156409,21726662,22337860,23000720,23687679,24393586,25151159,25903014,26686976,27557201,28276910,28952070,29709319,30450758,31211351,32001257,32811757,33653111,34539525,35484846,36479464,37501832,38555370,39639779,40752912,41891709,43069980,44297910,45554634,46842472,48115002,49317444,50479407,51630354,52774119,53915769,55058795,56204274,57339069,58440126,59506384,60511470,61417873,62236393,62973264,63589382,64125596,64683440,65217933,65704221,66150523,66571089,66962208,67251030,67477732
Australia,Oceania,0.44,0.35,0.53,0.44,0.35,0.53,AUS,"Population ages 15-64, total",SP.POP.1564.TO,6292375,6417818,6589642,6733296,6882453,7038353,7223348,7341981,7502007,7683920,7854797,8142939,8312505,8465462,8716702,8863079,8994679,9140881,9288752,9425006,9569000,9744907,9942754,10112198,10271131,10448204,10640853,10839764,11043284,11245929,11415078,11549946,11664387,11754306,11858713,11989636,12140698,12282166,12417030,12568636,12729175,12909312,13076482,13247817,13407531,13587612,13785404,14049608,14342140,14637328,14844429,15010632,15217504,15420332,15593448,15760132,15950251,16164960,16363671,16566343,16729640,16710291,16887993,17257989
New Zealand,Oceania,0.1,0.08,0.11,0.08,0.07,0.1,NZL,"Population ages 15-64, total",SP.POP.1564.TO,1386928,1412907,1451052,1483635,1518806,1547860,1579717,1611157,1627402,1645473,1673493,1704807,1742216,1786445,1836347,1884386,1912350,1930895,1944290,1948559,1962707,1981465,2014120,2056941,2088901,2112763,2121086,2147692,2158958,2170248,2187254,2294227,2317502,2340638,2369553,2403910,2443189,2476213,2497968,2511569,2527570,2546293,2599988,2662641,2711369,2748208,2784221,2808773,2829534,2853567,2879117,2892041,2896365,2909065,2954436,3015687,3084285,3148198,3204517,3257548,3326620,3331601,3325532,3382347
